pH,Hardness,Solids,Chloramines,Sulfate,Conductivity,Turbidity
6.2962,170.3991,8912.0965,6.9803,344.7412,376.0673,4.8422
4.4303,179.2963,24044.7139,3.623,289.3464,526.4346,4.7643
9.0308,327.8918,31912.9049,4.7599,177.1527,410.353,3.4298
6.8282,244.8736,38171.598,8.3418,350.4053,312.79,3.3604
8.8567,176.3616,16764.8206,8.2076,165.2955,381.1457,4.7679
4.6084,255.7564,23931.4356,6.2162,306.4091,300.9711,4.8583
6.1009,173.2944,24558.0829,4.9645,214.8791,329.9851,3.528
7.0079,293.85,21563.8539,4.9452,250.7458,451.1055,2.0954
7.0705,229.5714,19209.2384,6.2535,320.3417,326.0901,3.7512
6.3249,191.4158,23487.8031,8.289,321.716,509.0107,4.7482
7.9343,235.8174,500.0,8.8565,386.9575,414.3104,6.1665
5.3986,74.3299,25456.5559,6.0069,273.4197,426.8476,2.5625
6.7864,109.8586,21009.4232,4.693,304.5161,397.7302,3.4881
7.1804,104.486,18220.2008,7.5357,244.981,481.8278,3.5327
7.7717,211.4354,36374.8976,5.3529,294.5592,482.6528,5.627
8.0674,338.6012,14600.5278,5.9635,315.1589,446.8043,3.9581
5.313,378.504,16775.3921,9.6506,272.1352,465.1831,2.9112
4.6988,251.0441,35932.4264,8.6542,135.7,403.0328,4.6704
8.9165,240.0676,13343.5096,7.3159,306.5177,463.3762,3.5144
7.4985,55.9154,15599.0777,4.4562,309.1649,392.9698,2.5307
5.8773,156.5861,18823.7966,7.4228,225.5861,420.1785,2.9287
9.3267,136.9773,26725.8759,9.1253,177.249,398.0285,6.0809
7.1735,150.3322,21662.4201,6.2487,398.0703,383.4225,4.4611
8.7689,186.5485,9658.9972,9.7022,319.3156,364.8711,4.1293
7.1013,162.2328,15742.6515,9.5855,261.6735,457.4152,3.7001
10.0911,50.0,15141.1645,10.3275,189.0374,524.8485,4.3506
9.633,259.8328,19382.2316,7.6105,214.2548,513.6882,4.3363
6.6266,114.1806,23406.7493,8.1748,384.2072,319.4748,4.3506
8.4574,219.1397,23345.646,9.8284,291.013,523.1362,4.1378
7.9681,365.9266,5791.906,7.8948,235.953,394.5473,5.0426
9.0529,126.4492,28511.5279,5.9975,320.7751,468.0586,4.0277
5.5526,50.0,22020.5508,6.1029,214.8481,347.5028,2.8265
8.0291,177.1197,31076.2564,7.4771,400.0674,431.3584,3.2651
8.5876,288.0768,23553.5866,4.4189,388.224,445.0979,1.6252
4.3619,356.6678,28810.5837,6.7135,242.6741,301.2316,6.4322
5.2251,101.636,23732.3625,9.1931,229.7064,468.6614,5.0353
4.0,239.7359,30769.806,2.6175,100.0,527.6748,3.0039
6.5959,162.7752,24178.0051,10.069,161.4735,406.0282,3.6618
8.0763,191.5241,19216.678,9.2447,172.8424,528.8135,3.2357
9.2535,411.5475,38179.4778,6.0805,290.8152,404.8245,5.8511
7.1111,79.7624,27112.297,8.0868,253.9013,487.9668,2.2961
9.4429,220.2992,24589.9554,7.0063,172.3732,242.5144,4.1374
4.9298,237.4155,9789.5647,9.46,257.5069,613.5022,3.8698
4.4449,286.8629,9693.5391,8.9654,320.427,539.6367,4.9922
6.9167,207.8387,22341.7239,4.1999,322.2271,397.23,3.8752
7.5761,224.644,21164.1696,8.1745,128.0264,262.2329,1.8901
6.951,168.6681,15087.0195,6.5887,269.7389,443.0423,3.6987
4.0,221.5302,21127.8616,7.1657,169.3327,304.486,2.8334
6.8663,172.5446,32709.0154,5.5437,352.1383,455.5883,4.0955
5.0433,249.7258,25563.2198,10.4963,342.7317,452.9253,5.721
8.0045,170.4312,10871.9319,9.0801,208.1578,344.6877,1.9127
7.5499,230.168,19107.9294,5.5205,218.7164,509.6774,3.0397
5.5902,197.659,13560.2682,4.3308,243.0986,484.446,3.3368
6.2292,290.084,16898.4007,6.2287,100.0,498.0659,3.542
5.4112,195.8885,16691.0747,7.869,306.8775,420.7086,4.8882
6.906,58.1574,16178.8353,7.4804,258.1724,306.7581,3.7917
8.4327,300.9537,9958.917,9.5063,357.614,498.2298,4.499
5.5214,127.5414,18978.7625,8.5798,192.1273,398.3703,3.2491
7.7561,147.6987,15515.1389,8.9391,230.4702,308.8176,4.2759
6.2046,152.3471,500.0,7.6537,159.478,528.1631,4.9334
5.8107,309.955,36423.7762,4.2214,199.6568,587.9526,3.1212
6.8395,50.0,28710.1572,6.6086,185.4414,416.7001,4.9376
5.4471,450.0,16989.5942,9.1202,359.6779,592.7297,4.0628
6.1695,284.4845,20150.5524,6.897,224.1391,427.3052,5.2546
5.2032,217.8591,10626.7652,8.0062,289.9341,389.5635,3.7583
9.9471,195.6085,33565.783,6.3625,249.5389,369.5633,4.4575
7.0529,222.8443,35178.3096,4.9404,178.4428,550.9666,3.9513
5.9504,241.6898,21253.5498,6.7533,266.536,357.5885,3.8845
7.321,251.6172,28188.2452,7.6181,327.9283,478.8215,4.3107
6.8315,244.4484,21402.2942,5.6886,183.3792,375.2669,4.6442
6.6685,207.1665,9306.1965,6.5286,344.729,383.1755,2.5005
7.9213,184.2129,16705.413,5.1211,212.0223,502.42,5.7204
8.1363,187.8981,21055.4237,9.2385,241.3613,389.5971,1.7684
6.2042,184.4073,16363.6183,6.4111,322.4546,387.6164,3.1782
6.1363,290.7016,18250.7738,9.9055,226.9251,510.6244,3.8869
6.5874,247.4845,19268.8035,10.0575,283.006,547.7918,4.4948
4.0,50.0,19352.972,6.8379,254.8247,471.5752,5.8914
4.7272,252.4721,20418.0679,4.9831,290.3494,367.6184,1.7701
9.0503,215.5789,11515.1595,2.8282,100.0,379.1513,3.3908
9.4675,198.5033,14263.8708,4.0559,133.6255,426.3932,1.4478
6.6264,168.9185,9723.3259,4.2523,329.2774,445.6744,4.0379
7.8648,289.929,27822.5244,9.7569,362.9745,340.9707,4.326
7.4669,275.8021,3154.8245,7.2316,207.1611,477.843,5.909
11.6183,138.1698,29228.7227,7.7792,260.4777,426.8411,4.1448
8.6794,232.5642,31090.7952,2.5592,303.5775,282.7433,5.2528
6.8081,122.2675,17582.5553,4.6041,335.4574,345.6859,4.7006
5.5667,89.6305,500.0,8.7742,117.7858,379.6697,3.4777
4.5903,149.8626,17109.5155,7.5735,209.1168,414.1714,2.3092
7.3052,268.9915,19486.5267,6.7056,253.3936,571.1423,4.33
5.8655,276.25,11915.2142,8.1297,336.2512,439.0537,2.2095
4.8666,241.0468,15878.2528,10.2716,479.8744,352.7382,5.5542
6.0301,258.0077,32241.5616,6.5579,261.7595,437.6505,3.8055
5.3777,241.2943,25319.4173,7.1387,167.4418,391.833,5.4342
9.5307,148.6815,12603.4871,7.3852,312.1814,445.9807,3.4237
8.3225,234.5538,7219.2066,11.7842,385.6797,466.4454,4.3226
6.988,264.0328,17383.8615,2.8013,288.6411,516.7385,4.2512
9.2199,260.3433,18292.3458,8.3664,207.4681,418.0571,3.9459
7.1161,295.1131,23969.5935,6.7704,356.6395,551.1168,3.4808
5.7081,256.6643,15717.4663,8.1335,333.0836,492.6418,4.4709
9.2847,228.1159,24091.9966,5.6853,197.9135,363.4048,2.8886
7.8084,285.612,35481.2323,6.9021,310.514,596.7885,2.5487
5.4441,197.8783,26524.0082,8.4228,359.7812,446.1596,5.4914
6.7145,129.45,19615.2919,13.0,374.5512,353.19,4.8726
5.6866,186.9546,18534.7962,8.6161,274.6841,552.233,4.0791
4.9258,140.4078,17146.6149,5.3039,251.3536,586.2222,5.9982
8.3893,145.9857,29445.1273,6.1525,378.1819,417.358,3.6787
9.8641,188.4385,14981.4924,6.0932,183.1872,379.708,5.5872
4.9021,136.6064,20361.7817,3.4087,315.0863,406.21,4.2107
7.8445,175.3631,20409.5832,6.3398,170.3979,477.1785,2.7703
6.024,50.0,15985.7265,8.4657,365.2301,522.2285,6.2176
6.2693,217.0635,9020.2756,4.4515,259.3564,465.639,5.1889
6.1114,200.0964,22583.796,9.097,381.4867,428.1379,3.8548
5.704,134.6329,19511.9682,7.9755,319.313,539.8409,4.8726
7.0728,252.7397,24001.9238,5.5315,182.1424,394.9731,3.5156
5.7536,275.0056,15731.1975,6.7169,393.9702,502.4735,4.995
7.4057,71.3952,29766.5704,10.1966,404.0996,396.955,1.1307
6.9246,138.982,12985.8098,8.4671,350.5829,454.4818,2.7762
6.6416,138.4686,33696.3223,7.0176,219.073,410.915,5.1751
5.6387,124.8078,6018.9079,6.5246,255.5189,415.5318,3.7004
6.1348,266.358,23478.1605,7.1532,291.6342,389.8091,4.2491
8.1331,184.4939,23803.4455,5.9765,223.7032,527.5883,2.3839
7.7514,178.8388,13635.5435,2.7905,415.3877,361.3659,6.2174
5.5337,50.0,23395.1515,11.0844,291.5461,360.7814,5.4286
7.149,250.8334,30236.1494,7.3106,100.0,589.6795,3.7592
8.1271,100.8593,2265.4493,7.7963,307.1485,498.2278,3.5144
4.4959,204.7946,24021.9585,6.8842,252.1474,229.1909,5.2355
7.815,222.1902,500.0,5.5298,274.0059,374.7793,6.379
6.0061,308.8527,12274.6816,6.6282,250.5105,275.0409,5.1445
7.8559,95.2944,33033.3309,3.8012,344.5637,343.9447,6.6062
5.8551,50.0,15345.7437,11.5542,369.575,200.0,2.8932
4.2927,214.708,10608.9603,4.531,302.6443,409.0408,3.0167
4.5587,344.0409,18416.4982,4.9361,252.8551,328.6447,2.5733
7.0721,299.1157,36543.2507,6.1195,276.693,424.7924,4.5301
7.3896,216.7728,5346.542,9.5762,281.568,289.9903,4.2107
5.6435,160.6691,11589.5207,7.029,215.8056,426.6329,3.8177
7.9579,264.5698,31979.4535,4.5277,326.3143,386.8067,4.9711
4.5077,122.1163,34861.6187,9.5087,316.8034,540.1562,5.4788
6.9009,238.1086,19172.5502,8.462,403.2353,532.9085,2.1692
5.1835,240.4376,10087.5784,8.0769,380.428,482.8276,3.2836
6.0222,284.8168,36766.748,8.4315,225.146,393.8709,4.9842
7.0711,420.7728,32755.5391,11.7887,345.6239,578.8304,3.4387
5.7094,231.3933,25431.5759,11.3702,203.9237,295.7572,3.0422
6.4232,159.2829,13500.7812,5.6266,335.6746,307.7153,5.2222
8.5094,197.9541,19607.7653,10.2478,238.6709,413.2974,2.4526
6.1347,58.4739,18717.1194,7.7663,198.1397,600.323,3.6381
8.2535,144.4229,22646.8104,7.9982,302.4036,403.8129,4.3944
5.3054,167.2574,31608.0115,3.6155,100.0,405.3404,3.3114
7.7947,158.0729,27035.3363,6.6592,139.922,304.6472,4.9398
9.1624,212.1884,11380.9914,5.3744,265.8006,495.6744,3.3173
4.0,134.2064,31011.9716,8.6561,286.5953,496.2541,5.6903
5.8047,289.6825,22505.0571,9.1422,250.4545,483.126,3.8491
7.8656,200.0166,25496.5264,2.851,153.6451,369.6623,4.8055
6.6954,199.256,31732.3269,6.9559,214.5687,363.4635,4.8952
7.5567,173.7684,11107.358,9.2437,311.2967,316.5502,3.247
6.094,212.4153,19713.3954,6.6266,326.5425,426.7098,1.5358
7.1299,266.0079,15748.3636,8.4581,278.7022,333.5674,4.4329
6.7665,130.6296,7457.1246,7.7023,372.5467,325.8067,4.0867
8.7517,147.3507,22773.6798,7.6833,311.7918,386.1047,4.667
7.3816,175.7019,40092.4524,6.4574,220.2035,380.8675,3.7282
7.5064,92.3303,5279.378,4.5668,257.5598,376.9617,3.4835
6.3822,134.4594,19741.7551,4.7569,167.7707,457.3156,6.4102
6.2686,161.9023,25124.3435,8.4187,271.3489,426.3238,2.2332
6.3512,269.9511,20984.6256,7.0389,368.968,396.9475,4.8807
7.5917,221.0049,19094.9756,6.723,334.8232,434.641,3.3105
6.3685,215.4872,9606.2691,6.1522,392.1607,340.6778,3.5971
7.4347,268.0718,21862.2939,6.3896,255.7692,428.4223,3.6195
10.1131,189.0103,13945.8882,9.0938,387.688,432.0482,3.0359
8.3067,231.2372,2480.6264,6.3295,264.5357,299.7563,4.6855
6.511,191.7423,29556.7378,4.3179,397.7268,499.6555,5.6688
8.8018,221.229,27667.0866,8.4873,278.2515,349.4853,4.564
6.3879,153.3793,20413.2878,6.5902,336.5785,427.2248,4.1241
4.0,50.0,21832.5975,7.0628,398.009,513.1529,2.8163
5.4879,189.2577,28594.5441,10.2152,264.5258,494.0541,4.6202
4.1938,313.8199,21794.7173,6.9589,297.4711,422.7467,6.5876
6.4727,274.0972,27232.1404,7.5784,383.1091,391.0001,3.5432
7.0276,277.2318,17620.1424,4.6422,269.3597,495.801,3.5488
9.5147,298.8905,30495.8699,6.5607,174.3286,473.9756,3.3267
7.4904,207.0926,22566.2858,8.2191,451.4406,370.5308,3.4127
6.6713,215.7853,21552.4155,3.8893,242.4188,356.4085,1.0
8.2441,150.5878,9839.5113,7.4017,292.7005,254.2116,4.486
4.0,174.7142,22295.6468,7.2016,372.4805,432.3225,2.9853
7.3534,249.2617,13344.3607,7.0826,231.3205,413.3842,2.0677
8.1563,296.3108,14893.7382,9.0743,199.3706,510.8953,4.9038
4.7821,188.8443,13476.995,7.6689,300.299,448.7244,2.7016
8.7156,163.9849,11470.1205,9.9561,136.5539,526.7383,3.5936
7.5077,200.0422,36998.1712,5.0128,256.9675,364.2109,5.7597
6.3771,248.0965,30650.7125,7.2718,299.6031,511.052,2.3089
7.9492,84.4916,35362.94,7.1689,258.4038,377.6867,2.1609
10.406,50.0,10216.8398,4.8615,156.5239,482.2077,4.3232
7.2728,155.9571,20570.03,8.9126,407.5342,303.2993,5.3794
7.3723,102.343,9651.939,11.6493,288.2831,438.8108,2.1108
6.311,159.3488,14434.441,6.966,394.4922,261.225,4.4892
5.7252,188.1776,12654.9841,8.01,259.1971,398.629,4.6972
8.2455,163.7401,29916.6721,7.169,209.599,455.2283,1.529
5.7159,316.1974,16830.1626,5.5728,301.5345,378.3225,4.9582
7.1073,226.1396,28547.0347,3.3585,262.737,335.965,5.0519
6.2835,224.0379,24832.9671,5.5885,185.7791,487.6895,3.6259
7.7185,249.7766,38429.11,4.2161,397.5827,411.723,5.5028
7.5005,108.8934,8164.4462,10.4082,230.2184,380.8343,5.3637
8.5563,283.1289,30073.8659,6.7698,132.7787,423.3517,4.1237
6.235,193.9389,29171.527,6.3082,386.2533,630.9335,3.4583
6.5952,253.6384,12212.9693,8.7783,239.6562,512.2802,2.8326
5.5319,114.2514,28057.0667,4.7565,231.3741,513.0059,3.9549
6.3336,75.6993,22689.1597,5.4663,138.769,454.8437,4.6837
7.566,265.4312,18180.1899,7.1361,419.2753,433.3188,3.611
8.1355,230.1128,13408.5161,9.0575,176.8416,228.3134,1.363
5.6168,127.8359,14247.1244,8.0034,284.676,365.6816,5.5225
8.3044,130.427,36398.4968,7.4967,353.0096,381.554,4.2283
9.0335,290.0348,20005.4626,7.1562,313.7374,270.0086,3.5445
7.6202,104.847,26257.04,7.8005,275.2277,327.4067,5.0286
9.8152,331.4138,13672.8049,7.4033,143.8667,261.5331,5.8296
5.8393,127.9503,13761.1764,4.9401,215.222,416.9341,1.0
5.133,251.0714,28655.8785,7.0922,295.024,485.5013,4.5211
4.3319,173.7105,9203.3903,4.8526,217.0261,508.542,2.288
9.2441,248.255,16678.2899,7.1622,296.2688,453.1828,4.5989
7.9815,156.4709,20272.2193,6.0387,334.5395,342.9283,4.1535
6.9166,186.9766,20890.9808,12.0788,357.0002,265.4348,4.7629
7.42,203.2735,18567.2537,6.9202,181.9057,279.4505,3.4009
5.3118,119.825,23166.5582,4.1915,455.7317,318.4814,1.7521
10.6686,259.2659,25542.846,6.7316,341.3983,348.8912,3.4596
7.1938,158.9429,25877.1004,8.0387,279.8629,407.2201,4.4882
7.1641,181.712,12113.5695,10.3467,367.1629,338.8669,5.2185
8.0886,120.4521,17726.7592,5.8211,469.2326,447.1181,2.5938
7.7215,50.0,29558.1029,3.8351,164.9024,401.4181,5.2325
7.3358,184.7178,27157.1775,8.6337,261.979,420.8437,3.2226
5.8143,393.0092,9017.1244,4.2388,100.0,511.22,4.4349
7.7072,262.7683,22811.8392,6.1277,295.4121,325.5815,3.3881
9.823,198.4592,4174.198,6.4848,309.2315,453.4964,4.2186
9.0181,178.9687,20375.4792,6.8607,276.867,418.8821,5.0703
9.3898,201.7973,35182.1361,8.3783,227.6373,393.3211,2.5276
6.2332,243.7695,12416.8583,5.6327,116.0388,490.8205,3.1841
5.5156,105.535,13325.4156,6.4525,309.8827,490.3211,4.222
6.8113,289.1457,26112.2383,6.9715,396.4348,344.2807,6.8819
7.0836,257.2305,7657.5879,7.2992,232.7185,405.4272,2.9642
8.6413,257.4549,14937.9598,7.1957,315.2048,442.4969,6.4482
4.4613,235.0781,24771.5291,7.872,154.5485,398.1595,6.4053
9.2943,201.5693,14925.7132,8.6877,316.577,466.8017,3.8832
6.763,253.8289,18112.2401,7.7853,248.5294,442.4954,3.6422
6.3597,247.3451,25953.4857,7.9072,219.0066,566.6049,3.1695
5.4818,171.6767,23372.3687,3.8356,219.1709,297.5777,3.9182
4.5177,154.1119,22134.5472,7.1005,248.5111,410.2051,2.3119
8.2348,208.1485,17287.0218,7.959,310.5947,347.3198,3.9085
7.11,323.9216,22960.4889,8.4579,175.0269,468.3286,5.7963
5.0651,100.8714,19010.1386,5.6153,248.2308,290.6262,3.2667
5.0574,82.598,23662.4449,5.6819,276.6823,447.705,3.7111
6.4963,213.1809,16024.5438,5.8518,192.0769,369.5961,1.9586
9.5035,204.071,18539.4482,8.0728,423.7332,361.2671,4.4489
6.6106,213.8673,12080.3377,9.0678,211.7204,304.2801,4.3174
4.7453,219.5163,19719.9391,6.1851,226.445,382.7939,4.0764
6.6314,182.1438,13511.9931,8.8159,201.7354,506.76,3.7398
6.5909,319.1891,11087.6284,7.247,423.8784,417.9849,3.6487
4.0,71.9277,22069.2892,6.7514,324.2324,470.2144,4.6023
6.9186,133.7202,21701.9182,6.5772,205.0726,553.1713,3.9654
6.6536,191.7396,26262.9899,8.4932,368.4985,441.1004,4.378
8.0443,68.5449,16550.9954,7.6512,296.0559,375.296,4.258
9.7734,185.9316,23264.4228,11.5517,300.5803,457.3802,5.3481
8.6898,332.9176,24406.3806,5.2956,252.4418,376.4563,4.8124
6.5967,201.6709,23558.1905,8.0362,220.0467,379.6462,4.2314
5.3402,218.4561,13394.7705,5.9416,307.0213,298.4086,5.8221
10.86,99.1868,21194.9079,5.2614,236.393,494.1006,4.5043
7.0888,150.6911,22913.1224,6.9783,425.3405,389.1198,5.566
7.0209,169.9843,20057.4277,7.2747,178.4567,434.5679,4.7283
6.9638,174.5828,3308.1787,12.8363,402.8925,337.123,1.7897
7.2971,302.5315,21283.917,6.6317,271.0945,454.8758,5.5658
6.7835,244.6153,37700.2483,4.7396,303.9269,359.0447,4.1622
6.1395,111.0834,17119.6858,7.546,346.6526,408.6633,3.9377
6.1797,219.7204,14175.3832,2.8507,229.5801,490.2261,4.3376
6.9509,239.8577,22986.7885,6.8161,349.1399,483.2607,3.586
6.1849,291.2119,22499.0257,7.0321,100.0,418.2376,4.2724
5.9307,326.4433,29541.8813,8.5892,222.4008,278.5495,3.2897
7.1596,118.7925,9937.0548,8.9472,206.075,659.4248,5.5291
6.6175,135.1314,25851.042,5.9929,179.7195,559.6687,3.8637
9.256,99.3938,24723.3765,6.6988,262.8036,477.814,3.5409
4.0,181.2784,18862.8277,5.4678,310.86,359.7437,2.8901
8.6373,237.3087,22709.4985,4.7439,336.2128,410.9126,4.3225
8.8691,278.9868,28235.6599,7.6198,299.2701,376.5264,4.2245
4.0,193.9239,26978.523,4.4528,226.7445,521.1085,4.4661
6.486,174.4122,10855.8455,6.1707,309.5213,441.0002,2.7673
6.4428,212.1406,26561.2655,5.0097,289.9429,357.2669,2.0786
4.8887,133.1886,19482.4912,8.0994,354.8845,382.3396,4.7507
5.8333,367.1631,20582.9928,10.6029,342.1549,509.6951,5.7816
5.3341,71.3871,20585.5759,4.3968,282.4381,548.0078,2.7684
9.6284,214.7792,18798.0561,3.294,208.2198,542.2665,5.9073
8.4035,361.8885,29533.66,6.7502,227.764,480.5626,4.3407
8.9073,200.544,19330.2563,7.0314,236.0169,399.79,3.9915
8.0825,184.7969,11043.631,7.4373,254.7787,200.0,3.5229
5.3064,171.4044,16851.7612,6.1074,301.444,443.7728,2.3386
6.2132,185.5687,21429.5577,6.5987,337.214,419.8537,5.1853
7.7341,309.8279,29833.7183,7.735,275.9105,431.1986,3.0693
5.1668,50.0,24824.7575,9.0809,281.29,424.3118,3.0642
8.0695,322.6747,13195.7178,3.0899,291.4645,313.899,5.1903
6.6395,86.0834,39881.5193,6.2621,238.7276,464.5927,1.7404
6.4378,178.6678,22118.2025,7.4276,205.9686,470.5773,2.1717
8.0664,165.6604,30203.1259,5.164,139.565,474.5871,3.9782
7.6664,247.0843,18786.2845,10.4623,224.3881,495.7262,4.3519
6.4586,72.1501,24266.874,5.7292,317.8516,468.3241,4.5817
8.739,236.9738,26715.748,6.9174,223.7671,387.1976,3.6378
5.3784,361.9448,29745.5577,8.112,260.9754,414.3331,7.0364
7.9239,90.9461,28458.9464,5.8174,317.3145,427.29,3.7265
7.8897,215.1765,26977.576,3.3069,321.6552,428.616,3.7231
6.5357,147.0414,17479.3062,6.1427,193.6374,499.8574,3.0436
7.4892,234.071,15426.0317,9.0589,359.7647,471.4935,4.1487
5.1233,201.5318,22660.8601,6.3262,370.188,586.1875,4.738
8.386,148.681,27465.0246,5.3071,189.612,596.5175,5.4443
6.7226,239.0298,18218.2344,8.8513,214.0931,426.372,2.2129
6.2159,344.3478,28521.3757,6.3385,375.2873,200.0,3.7048
8.5735,184.7277,31620.934,5.9797,268.2517,518.9466,4.536
5.9435,257.5806,12669.4326,7.2989,102.4178,376.7699,4.7045
4.8873,96.5382,13304.6344,8.5415,168.0255,355.8813,4.0079
4.6651,123.4851,18876.9995,11.7634,260.0504,388.1244,4.6509
7.909,237.7925,22460.9013,8.6545,186.9566,384.2686,3.0292
5.0794,318.7293,15803.4639,9.3197,246.9261,468.9816,5.8695
9.6322,228.4491,30817.6214,5.9881,282.5917,295.2451,5.1912
4.0,174.9554,23392.5349,4.9483,396.9804,333.7823,2.3861
9.5447,199.9433,20315.5764,7.1247,256.7637,447.4527,2.7099
7.3165,99.9674,8512.7238,7.2143,365.8033,469.8355,2.7437
6.8549,248.3612,9473.4735,4.843,394.3008,471.3233,4.8136
6.1826,270.5866,22248.074,6.6494,394.7448,357.0371,2.4583
7.5987,163.8328,2939.235,7.7986,302.7804,341.7387,3.6028
6.9435,162.3966,28101.0993,7.7208,122.9369,379.4692,4.5456
8.655,221.2703,18734.7692,8.0086,316.866,439.1898,3.9206
7.1713,165.0624,45944.7438,7.5819,363.872,538.8382,4.3107
7.2255,194.7094,38463.33,5.986,273.5146,256.205,2.721
6.4546,367.9777,18548.4074,5.9722,419.5667,402.3417,4.7138
6.9146,180.2379,19149.304,4.6021,348.7867,313.3857,3.2641
7.4617,171.3328,27964.6521,10.5696,325.4619,287.8206,3.6105
4.4347,148.1967,33625.3809,7.0269,366.9105,497.3565,4.2853
4.9777,259.5354,6895.7675,6.5503,306.6696,463.57,4.1237
8.1149,185.5021,5708.9963,5.1424,100.0,455.9547,4.0288
7.2563,148.0502,15023.7216,12.8713,240.0689,493.6821,3.0992
6.724,305.7043,24661.9007,4.8533,375.7734,381.6225,3.6405
7.0277,313.5682,23974.9887,6.1423,215.3927,385.389,4.0026
7.5214,151.9661,28558.1716,7.8317,262.1222,594.8584,2.3499
6.1904,50.6768,10402.4198,8.2004,196.4131,400.2743,3.445
5.8325,280.6011,1470.8491,8.9159,422.7138,478.8106,4.4652
7.2938,145.2296,26864.1136,10.6152,414.5194,420.5105,2.4671
5.5324,263.25,13374.4298,8.0123,209.2905,272.1393,5.3879
7.6124,50.0,3852.0971,4.8879,291.7838,256.4297,5.5235
4.4461,271.4078,21160.51,6.4861,225.5605,373.6813,2.5058
8.5437,103.1062,26345.4055,7.6157,329.1956,504.4881,5.6291
7.7089,258.4611,19023.5429,11.1365,320.7746,483.0633,3.8277
7.384,201.1418,16337.2129,4.2044,344.9364,493.1262,4.5022
8.474,123.6848,18725.1021,9.4052,306.5535,341.0363,3.404
9.4982,167.4371,17035.3379,7.3598,480.0,549.2698,5.1077
8.5216,254.9055,9215.6231,8.6757,197.7661,342.8085,4.4873
4.2387,208.4716,14282.5546,6.796,143.1517,437.026,3.023
5.0806,246.753,24170.2392,5.3151,248.5528,419.1718,2.6018
6.0628,358.1152,22573.4283,8.5017,154.5609,406.0901,2.2476
7.0391,74.8607,21344.4784,8.3089,160.603,527.0874,4.2255
7.7765,329.377,12038.8121,8.9441,199.8948,363.5912,4.687
5.9114,208.3485,18547.9747,6.9734,206.2249,312.0316,4.7812
7.2802,128.0973,2583.4796,5.8004,203.6306,421.5996,3.8584
5.8669,93.5749,21427.8133,3.8824,321.4575,388.0139,2.6116
6.0827,184.8704,31430.8617,8.6387,239.5049,690.1906,3.1815
4.89,273.732,8206.9429,7.8478,265.6388,474.1206,5.3828
5.6152,189.7961,15312.5786,5.0684,351.5386,387.2528,3.4184
4.9725,320.8924,22632.8542,5.9229,218.6942,335.5111,4.1721
5.5362,83.9059,30022.7411,6.0665,258.8363,269.5769,2.7092
8.5805,199.0329,16414.2031,4.034,309.2608,337.9825,4.4039
5.5759,99.8085,14461.9974,5.3646,124.6746,429.1953,3.4508
10.9486,229.0906,4248.6149,4.7323,100.0,534.1863,5.2561
7.74,270.951,20827.505,6.175,307.6894,509.7351,4.9283
7.2773,166.3391,36336.6083,5.5226,319.3611,438.3276,3.4052
5.7125,50.0,22218.8677,3.746,445.1376,394.1466,3.848
8.0505,215.9159,19821.7682,11.0452,292.6476,441.505,3.3387
6.1365,234.9391,22576.6585,9.5051,345.5792,378.509,2.2967
7.183,232.3436,19911.264,5.442,264.3622,557.4691,2.9711
10.8401,298.8626,13495.885,7.5448,303.7782,404.8648,4.2379
6.8559,114.3157,26586.2393,7.8349,413.3805,413.093,4.3903
8.7239,254.4173,21806.0922,9.3822,110.0806,242.7342,4.1783
5.9452,295.4006,20140.906,5.3628,313.0893,404.3652,3.6379
6.9475,57.713,12197.0718,9.1842,450.8469,486.9187,5.1197
9.6562,225.5721,30428.0635,5.9042,302.5627,334.5822,4.0763
6.0595,159.6656,25317.622,4.3283,412.0458,359.9424,4.8439
9.7187,193.4782,15576.6333,8.4483,229.663,483.4169,1.8715
8.0616,227.8141,28014.5988,9.5815,277.4362,301.8674,1.0
6.1563,161.0217,16019.4333,12.1758,282.682,504.6241,4.3405
7.9486,145.9434,13743.9721,4.6005,102.5927,377.4285,2.2903
8.4588,202.7322,13922.3751,8.3978,186.5458,388.9145,3.7451
7.9327,113.0203,5831.4516,6.1804,192.25,330.0897,3.6375
4.6447,113.134,23772.339,8.5667,345.7653,450.2437,5.9049
5.9093,254.3499,5350.841,4.059,349.7722,616.7898,4.48
6.6287,108.0965,10172.4493,4.4745,305.9229,482.5198,4.199
6.8883,253.305,3395.2959,5.4483,345.9282,350.8572,5.0044
7.931,237.0073,19311.4425,7.1579,266.868,510.8496,4.4422
7.2666,61.9355,18797.4363,5.7178,376.1545,394.6656,3.4508
4.997,145.7948,17386.4303,8.3181,280.7031,529.9588,5.2858
7.5703,295.5288,11659.3784,9.0538,284.6291,484.5341,2.6683
7.9159,121.5068,10622.13,8.1992,258.7526,200.0,4.3879
7.8397,162.8477,23714.9589,10.2376,334.756,339.6736,2.1429
8.6212,236.9649,15595.5845,7.8317,246.3041,495.5508,4.2447
8.2509,262.6712,22530.8666,4.5662,358.1145,432.1326,4.2316
7.6888,179.8769,12918.0105,9.7268,189.4281,338.0995,6.0117
6.8948,152.1992,21448.5019,5.7897,192.0867,369.3128,2.122
4.5086,313.7896,30426.2243,8.8208,334.9941,267.5011,3.2789
7.6444,339.112,24689.3264,10.1475,272.9165,412.9301,4.9872
7.3115,278.3086,16700.6895,7.9134,243.6887,596.8552,4.4024
